Sun Jan 23 17:27:45 2022    output.dat

         24747944 function calls (24565425 primitive calls) in 16.254 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   728717    2.331    0.000    3.555    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/jacobians/dictionary_jacobian.py:66(_apply)
   161961    1.438    0.000    1.479    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:184(__iadd__)
   317665    1.338    0.000    1.425    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:226(__imul__)
  1457434    1.135    0.000    2.784    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2078(_matvec_context)
   908063    1.105    0.000    1.290    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:273(set_val)
   727396    0.877    0.000    8.510    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:316(_apply_linear)
 6664/700    0.627    0.000   14.552    0.021 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/linear/linear_block_gs.py:73(_single_iteration)
   171014    0.568    0.000    1.095    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_transfer.py:240(_transfer)
  1457434    0.508    0.000    0.882    0.000 {method 'intersection' of 'frozenset' objects}
   899344    0.430    0.000    0.523    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
262205/258045    0.424    0.000    0.555    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  3205573    0.376    0.000    0.376    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:270(_abs_iter)
  1798688    0.353    0.000    3.215    0.000 {built-in method builtins.next}
   899344    0.351    0.000    0.713    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
  1878909    0.336    0.000    0.338    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:359(asarray)
16756/5964    0.317    0.000    5.144    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:2659(_apply_linear)
   899344    0.271    0.000    0.794    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
   899344    0.268    0.000    3.120    0.000 /usr/lib/python3.8/contextlib.py:108(__enter__)
   184052    0.205    0.000    1.299    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:2106(_transfer)
   155713    0.198    0.000    0.246    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:261(set_vec)
   155704    0.130    0.000    0.672    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:387(_solve_linear)
    16756    0.122    0.000    0.147    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:2690(<listcomp>)
   210384    0.113    0.000    0.517    0.000 <__array_function__ internals>:2(bincount)
