Sun Jan 23 17:07:00 2022    output.dat

         1523460 function calls (1440650 primitive calls) in 2.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    1.165    0.129    1.165    0.129 {built-in method time.sleep}
29073/1378    0.149    0.000    0.154    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:38(_convert_nans_in_nested_list)
     2236    0.051    0.000    0.051    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.041    0.041    0.041    0.041 /usr/lib/python3.8/json/encoder.py:204(iterencode)
     3684    0.034    0.000    0.050    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:117(_initialize_views)
      694    0.030    0.000    0.032    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:417(update)
        1    0.028    0.028    2.255    2.255 <string>:1(<module>)
     9941    0.027    0.000    0.027    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        3    0.020    0.007    0.020    0.007 {method 'read' of '_io.BufferedReader' objects}
   259358    0.019    0.000    0.023    0.000 {built-in method builtins.isinstance}
20173/19375    0.019    0.000    0.059    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.017    0.017    0.017    0.017 {built-in method zlib.compress}
   105853    0.016    0.000    0.023    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:130(__getitem__)
       35    0.012    0.000    0.012    0.000 {method 'replace' of 'str' objects}
     3977    0.011    0.000    0.028    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:119(get_index_dtype)
    23325    0.011    0.000    0.011    0.000 {built-in method numpy.array}
    11904    0.011    0.000    0.014    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:309(declare)
     3075    0.010    0.000    0.010    0.000 {built-in method numpy.arange}
      635    0.010    0.000    0.058    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:364(__init__)
      805    0.009    0.000    0.025    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:1308(_declare_partials)
      795    0.009    0.000    0.025    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/coo.py:265(_check)
      837    0.009    0.000    0.145    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:994(declare_partials)
      797    0.008    0.000    0.023    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:135(check_format)
       26    0.007    0.000    0.013    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:1005(_setup_var_data)
     7954    0.007    0.000    0.007    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:497(__init__)
      795    0.007    0.000    0.073    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/coo.py:330(tocsc)
     34/4    0.007    0.000    0.019    0.005 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:907(_resolve_src_inds)
   105853    0.006    0.000    0.006    0.000 {function _MetadataDict.__getitem__ at 0x7f7093d5ea60}
      612    0.006    0.000    0.022    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:638(add_output)
     3558    0.006    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:526(set_var)
    604/1    0.006    0.000    0.243    0.243 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:179(_get_tree_dict)
     1378    0.006    0.000    0.224    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:85(_get_var_dict)
     3684    0.006    0.000    0.063    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:80(__init__)
     3405    0.006    0.000    0.020    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
     4890    0.006    0.000    0.006    0.000 {built-in method numpy.empty}
     26/2    0.006    0.000    0.010    0.005 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:1785(_setup_connections)
     1645    0.005    0.000    0.008    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/node.py:32(__init__)
     26/2    0.005    0.000    0.017    0.009 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_transfer.py:29(_setup_transfers)
37509/6133    0.005    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2394(system_iter)
      795    0.005    0.000    0.052    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/coo.py:126(__init__)
     3323    0.005    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:273(set_val)
     1399    0.005    0.000    0.016    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:130(ensure_compatible)
      342    0.005    0.000    0.014    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/power_combination.py:63(compute)
    21026    0.005    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:1782(isscalar)
      780    0.005    0.000    0.019    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:428(add_input)
8240/4954    0.004    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:730(default_noraise)
    24650    0.004    0.000    0.004    0.000 {method 'view' of 'numpy.ndarray' objects}
        2    0.004    0.002    0.004    0.002 {built-in method posix.read}
     1504    0.004    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_transfer.py:240(_transfer)
