Sun Jan 23 17:07:00 2022    output.dat

         1523460 function calls (1440650 primitive calls) in 2.255 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   259358    0.019    0.000    0.023    0.000 {built-in method builtins.isinstance}
   105853    0.006    0.000    0.006    0.000 {function _MetadataDict.__getitem__ at 0x7f7093d5ea60}
   105853    0.016    0.000    0.023    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:130(__getitem__)
55610/55529    0.004    0.000    0.004    0.000 {built-in method builtins.len}
37509/6133    0.005    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2394(system_iter)
    30568    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
29073/1378    0.149    0.000    0.154    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:38(_convert_nans_in_nested_list)
    24650    0.004    0.000    0.004    0.000 {method 'view' of 'numpy.ndarray' objects}
    23325    0.011    0.000    0.011    0.000 {built-in method numpy.array}
    22707    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:55(__iter__)
    21447    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
    21026    0.005    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:1782(isscalar)
20173/19375    0.019    0.000    0.059    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    19420    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:72(__iter__)
    18717    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    18583    0.003    0.000    0.015    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/record_util.py:135(check_path)
    16858    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:270(_abs_iter)
    16378    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
    15770    0.003    0.000    0.012    0.000 /usr/lib/python3.8/fnmatch.py:64(fnmatchcase)
    14263    0.003    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/_asarray.py:16(asarray)
    13857    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
    13628    0.004    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:239(_assert_valid)
    12948    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
    11904    0.011    0.000    0.014    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:309(declare)
    10735    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    10735    0.002    0.000    0.004    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
